x,y,order,hole,piece,group,fips,abbr,full
-694048.8,-2123918,473,FALSE,1,02.1,02,AK,Alaska
-686677.6,-2124207,474,FALSE,1,02.1,02,AK,Alaska
-686338.0,-2126867,475,FALSE,1,02.1,02,AK,Alaska
-681709.3,-2132899,476,FALSE,1,02.1,02,AK,Alaska
-675953.5,-2129505,477,FALSE,1,02.1,02,AK,Alaska
-671801.9,-2131063,478,FALSE,1,02.1,02,AK,Alaska
-662818.6,-2132118,479,FALSE,1,02.1,02,AK,Alaska
-660048.3,-2133014,480,FALSE,1,02.1,02,AK,Alaska
-660011.0,-2133026,481,FALSE,1,02.1,02,AK,Alaska
-652779.3,-2131390,482,FALSE,1,02.1,02,AK,Alaska
-650536.4,-2131815,483,FALSE,1,02.1,02,AK,Alaska
-646170.3,-2133749,484,FALSE,1,02.1,02,AK,Alaska
-641898.8,-2133149,485,FALSE,1,02.1,02,AK,Alaska
-638824.1,-2137047,486,FALSE,1,02.1,02,AK,Alaska
-636598.9,-2136666,487,FALSE,1,02.1,02,AK,Alaska
-633661.0,-2136825,488,FALSE,1,02.1,02,AK,Alaska
-633629.6,-2136826,489,FALSE,1,02.1,02,AK,Alaska
-630673.3,-2134229,490,FALSE,1,02.1,02,AK,Alaska
-625698.8,-2138480,491,FALSE,1,02.1,02,AK,Alaska
-624257.7,-2141987,492,FALSE,1,02.1,02,AK,Alaska
-623971.0,-2146933,493,FALSE,1,02.1,02,AK,Alaska
-624541.6,-2148159,494,FALSE,1,02.1,02,AK,Alaska
-623944.0,-2150279,495,FALSE,1,02.1,02,AK,Alaska
-623456.4,-2152010,496,FALSE,1,02.1,02,AK,Alaska
-621572.7,-2153531,497,FALSE,1,02.1,02,AK,Alaska
-619237.5,-2158848,498,FALSE,1,02.1,02,AK,Alaska
-616847.2,-2161617,499,FALSE,1,02.1,02,AK,Alaska
-614416.3,-2163795,500,FALSE,1,02.1,02,AK,Alaska
-612054.9,-2167612,501,FALSE,1,02.1,02,AK,Alaska
-610279.8,-2168696,502,FALSE,1,02.1,02,AK,Alaska
-609936.0,-2170590,503,FALSE,1,02.1,02,AK,Alaska
-610792.2,-2175200,504,FALSE,1,02.1,02,AK,Alaska
-610553.1,-2179685,505,FALSE,1,02.1,02,AK,Alaska
-610108.4,-2183837,506,FALSE,1,02.1,02,AK,Alaska
-610728.3,-2189919,507,FALSE,1,02.1,02,AK,Alaska
-612991.2,-2197151,508,FALSE,1,02.1,02,AK,Alaska
-614929.9,-2199916,509,FALSE,1,02.1,02,AK,Alaska
-613881.4,-2201539,510,FALSE,1,02.1,02,AK,Alaska
-614828.2,-2203250,511,FALSE,1,02.1,02,AK,Alaska
-616866.9,-2202260,512,FALSE,1,02.1,02,AK,Alaska
-618873.6,-2201550,513,FALSE,1,02.1,02,AK,Alaska
-619746.3,-2203030,514,FALSE,1,02.1,02,AK,Alaska
-620373.3,-2203164,515,FALSE,1,02.1,02,AK,Alaska
-622785.8,-2202289,516,FALSE,1,02.1,02,AK,Alaska
-624840.2,-2198931,517,FALSE,1,02.1,02,AK,Alaska
-626153.0,-2197007,518,FALSE,1,02.1,02,AK,Alaska
-627380.8,-2195359,519,FALSE,1,02.1,02,AK,Alaska
-628737.1,-2194860,520,FALSE,1,02.1,02,AK,Alaska
-629383.9,-2192546,521,FALSE,1,02.1,02,AK,Alaska
-630744.1,-2190708,522,FALSE,1,02.1,02,AK,Alaska
-632288.3,-2189933,523,FALSE,1,02.1,02,AK,Alaska
-634089.6,-2188364,524,FALSE,1,02.1,02,AK,Alaska
-634837.8,-2187183,525,FALSE,1,02.1,02,AK,Alaska
-636589.5,-2187712,526,FALSE,1,02.1,02,AK,Alaska
-635447.6,-2192053,527,FALSE,1,02.1,02,AK,Alaska
-634072.8,-2194928,528,FALSE,1,02.1,02,AK,Alaska
-634316.9,-2197987,529,FALSE,1,02.1,02,AK,Alaska
-633287.2,-2200169,530,FALSE,1,02.1,02,AK,Alaska
-631607.8,-2200476,531,FALSE,1,02.1,02,AK,Alaska
-631928.9,-2203539,532,FALSE,1,02.1,02,AK,Alaska
-633583.8,-2204774,533,FALSE,1,02.1,02,AK,Alaska
-636965.0,-2204384,534,FALSE,1,02.1,02,AK,Alaska
-639095.4,-2203573,535,FALSE,1,02.1,02,AK,Alaska
-641640.4,-2204774,536,FALSE,1,02.1,02,AK,Alaska
-642632.4,-2204414,537,FALSE,1,02.1,02,AK,Alaska
-643127.4,-2202700,538,FALSE,1,02.1,02,AK,Alaska
-643434.0,-2201639,539,FALSE,1,02.1,02,AK,Alaska
-645075.8,-2200732,540,FALSE,1,02.1,02,AK,Alaska
-644789.6,-2197675,541,FALSE,1,02.1,02,AK,Alaska
-645562.4,-2197040,542,FALSE,1,02.1,02,AK,Alaska
-647731.3,-2197456,543,FALSE,1,02.1,02,AK,Alaska
-649497.6,-2197792,544,FALSE,1,02.1,02,AK,Alaska
