x,y,order,hole,piece,group,fips,abbr,full,county
-1491010.4,-2072244,1485,FALSE,1,02050.1,02050,AK,Alaska,Bethel Census Area
-1487039.2,-2072772,1486,FALSE,1,02050.1,02050,AK,Alaska,Bethel Census Area
-1485240.2,-2074897,1487,FALSE,1,02050.1,02050,AK,Alaska,Bethel Census Area
-1478616.3,-2072999,1488,FALSE,1,02050.1,02050,AK,Alaska,Bethel Census Area
-1476760.3,-2071375,1489,FALSE,1,02050.1,02050,AK,Alaska,Bethel Census Area
-1476440.8,-2068720,1490,FALSE,1,02050.1,02050,AK,Alaska,Bethel Census Area
-1477858.2,-2068218,1491,FALSE,1,02050.1,02050,AK,Alaska,Bethel Census Area
-1477456.3,-2064678,1492,FALSE,1,02050.1,02050,AK,Alaska,Bethel Census Area
-1475759.9,-2066080,1493,FALSE,1,02050.1,02050,AK,Alaska,Bethel Census Area
-1473315.4,-2062877,1494,FALSE,1,02050.1,02050,AK,Alaska,Bethel Census Area
-1471153.3,-2062125,1495,FALSE,1,02050.1,02050,AK,Alaska,Bethel Census Area
-1472401.9,-2060353,1496,FALSE,1,02050.1,02050,AK,Alaska,Bethel Census Area
-1472308.3,-2053747,1497,FALSE,1,02050.1,02050,AK,Alaska,Bethel Census Area
-1467800.6,-2054325,1498,FALSE,1,02050.1,02050,AK,Alaska,Bethel Census Area
-1465051.4,-2056131,1499,FALSE,1,02050.1,02050,AK,Alaska,Bethel Census Area
-1462145.6,-2055342,1500,FALSE,1,02050.1,02050,AK,Alaska,Bethel Census Area
-1462197.7,-2052955,1501,FALSE,1,02050.1,02050,AK,Alaska,Bethel Census Area
-1459831.5,-2048866,1502,FALSE,1,02050.1,02050,AK,Alaska,Bethel Census Area
-1454262.0,-2051028,1503,FALSE,1,02050.1,02050,AK,Alaska,Bethel Census Area
-1451822.2,-2049592,1504,FALSE,1,02050.1,02050,AK,Alaska,Bethel Census Area
-1447119.5,-2048903,1505,FALSE,1,02050.1,02050,AK,Alaska,Bethel Census Area
-1445014.6,-2046765,1506,FALSE,1,02050.1,02050,AK,Alaska,Bethel Census Area
-1439605.4,-2046347,1507,FALSE,1,02050.1,02050,AK,Alaska,Bethel Census Area
-1439049.0,-2049067,1508,FALSE,1,02050.1,02050,AK,Alaska,Bethel Census Area
-1435812.3,-2048486,1509,FALSE,1,02050.1,02050,AK,Alaska,Bethel Census Area
-1429021.0,-2050910,1510,FALSE,1,02050.1,02050,AK,Alaska,Bethel Census Area
-1426223.5,-2050729,1511,FALSE,1,02050.1,02050,AK,Alaska,Bethel Census Area
-1422074.0,-2048466,1512,FALSE,1,02050.1,02050,AK,Alaska,Bethel Census Area
-1416656.0,-2046668,1513,FALSE,1,02050.1,02050,AK,Alaska,Bethel Census Area
-1409618.0,-2045305,1514,FALSE,1,02050.1,02050,AK,Alaska,Bethel Census Area
-1405811.6,-2040995,1515,FALSE,1,02050.1,02050,AK,Alaska,Bethel Census Area
-1401912.4,-2038380,1516,FALSE,1,02050.1,02050,AK,Alaska,Bethel Census Area
-1398062.8,-2037349,1517,FALSE,1,02050.1,02050,AK,Alaska,Bethel Census Area
-1392693.5,-2034424,1518,FALSE,1,02050.1,02050,AK,Alaska,Bethel Census Area
-1389509.2,-2034912,1519,FALSE,1,02050.1,02050,AK,Alaska,Bethel Census Area
-1389161.4,-2033824,1520,FALSE,1,02050.1,02050,AK,Alaska,Bethel Census Area
-1395253.1,-2031815,1521,FALSE,1,02050.1,02050,AK,Alaska,Bethel Census Area
-1396626.5,-2027875,1522,FALSE,1,02050.1,02050,AK,Alaska,Bethel Census Area
-1369307.7,-2028058,1523,FALSE,1,02050.1,02050,AK,Alaska,Bethel Census Area
-1369346.6,-2023635,1524,FALSE,1,02050.1,02050,AK,Alaska,Bethel Census Area
-1353584.6,-2023471,1525,FALSE,1,02050.1,02050,AK,Alaska,Bethel Census Area
-1353665.5,-2019054,1526,FALSE,1,02050.1,02050,AK,Alaska,Bethel Census Area
